candidate_id,rank,score,reasoning
CAND_0000031,1,0.545543,"Ranking engineer background: 6.0 years as Recommendation Systems Engineer at Swiggy, owned using FAISS, Pinecone, Embeddings. Currently actively open to work, 91% recruiter response rate, willing to relocate."
CAND_0000043,2,0.456870,"Cloud Engineer at Swiggy, 8.3 years; relevant experience in Elasticsearch, OpenSearch, Fine-tuning LLMs. Currently willing to relocate."
CAND_0000001,3,0.452907,"6.9 years as Backend Engineer at Mindtree; strong technical background in Milvus, Fine-tuning LLMs, LoRA. Currently actively open to work."
CAND_0000015,4,0.448824,Software Engineer at Razorpay (5.4 years); ML engineering background including Qdrant. Currently actively open to work.
CAND_0000038,5,0.409724,"Java Developer at Swiggy (6.7 years); ML engineering background including Weaviate. Currently actively open to work, willing to relocate."
CAND_0000032,6,0.355591,"Applied ML background: 8.1 years as .NET Developer at Cognizant, with Embeddings. Currently willing to relocate."
CAND_0000044,7,0.339989,"Applied ML background: 5.7 years as Frontend Engineer at Tech Mahindra, with Hadoop, JavaScript, Databricks."
CAND_0000014,8,0.338889,"8.4 years in ML engineering at Zomato; demonstrates FAISS, OpenSearch background. Currently 80% recruiter response rate."
CAND_0000027,9,0.333678,"3.9 years (below the 5-9y target band) as DevOps Engineer at Infosys; strong technical background in Information Retrieval, PEFT. Currently actively open to work."
CAND_0000024,10,0.330762,"Applied ML background: 7.5 years as HR Manager at TCS, with Figma, Kubernetes, Forecasting. Currently 78% recruiter response rate, willing to relocate."
CAND_0000016,11,0.327865,"Accountant at Infosys, 5.3 years; relevant experience in Node.js, Figma, Data Pipelines. actively open to work."
CAND_0000020,12,0.320154,"Mechanical Engineer at Wipro (6.3 years); ML engineering background including GraphQL, TypeScript, Flask. 30-day notice."
CAND_0000029,13,0.317367,"Business Analyst at Wipro (7.2 years); ML engineering background including Node.js, Scrum, Tailwind."
CAND_0000010,14,0.287637,"Applied ML background: 4.6 years (below the 5-9y target band) as Data Engineer at Ola, with Elasticsearch, BM25."
CAND_0000048,15,0.276060,"9.7 years (above the typical band) in ML engineering at CRED; demonstrates Hadoop, Terraform, Vue.js background. actively open to work."
CAND_0000021,16,0.270470,"Project Manager at Wipro (14.5 years (above the typical band)); ML engineering background including Pinecone, Vector Search, Embeddings. willing to relocate."
CAND_0000017,17,0.255396,"Accountant at Wipro (12.3 years (above the typical band)); ML engineering background including Next.js, Java, Apache Flink."
CAND_0000007,18,0.253913,"5.5 years in ML engineering at Wipro; demonstrates Content Writing, MongoDB, Sales background. 30-day notice, willing to relocate."
CAND_0000026,19,0.240928,"6.8 years in ML engineering at Initech; demonstrates Apache Beam, Kubeflow, Scrum background. 30-day notice."
CAND_0000033,20,0.236235,"8.6 years in ML engineering at Wipro; demonstrates Kubernetes, Data Pipelines, Snowflake background. actively open to work, 30-day notice."
CAND_0000042,21,0.230793,"Applied ML background: 5.0 years as HR Manager at Wayne Enterprises, with Project Management, gRPC, Marketing. 30-day notice, willing to relocate."
CAND_0000002,22,0.215691,"12.5 years (above the typical band) as Operations Manager at Wipro; strong technical background in Project Management, React, Photoshop. actively open to work."
CAND_0000028,23,0.215629,"1.1 years (below the 5-9y target band) as Operations Manager at Wipro; strong technical background in Snowflake, React, JavaScript. willing to relocate."
CAND_0000019,24,0.209055,"Applied ML background: 6.5 years as Project Manager at Wayne Enterprises, with Figma, GraphQL, Six Sigma."
CAND_0000025,25,0.208231,"Applied ML background: 7.3 years as Frontend Engineer at Tech Mahindra, with JavaScript, Spark, GCP. actively open to work."
CAND_0000018,26,0.198262,"Applied ML background: 6.6 years as Frontend Engineer at Acme Corp, with CNN, Java, Accounting."
