candidate_id,rank,score,reasoning
CAND_0002025,1,0.748812,"5.9 years as Senior AI Engineer at Apple; built ranking and recommendation systems (FAISS, OpenSearch, Weaviate) with A/B testing quality measurement. Currently actively open to work, 30-day notice, 80% recruiter response rate."
CAND_0077337,2,0.731669,"Staff Machine Learning Engineer at Paytm with 7.0 years of experience; hands-on production work in pgvector, Pinecone, Qdrant, including NDCG, A/B testing measurement. Currently actively open to work, 95% recruiter response rate, GitHub score 68."
CAND_0041669,3,0.710142,"Recommendation Systems Engineer at CRED with 8.0 years of experience; hands-on production work in FAISS, Milvus, Weaviate, including A/B testing, eval frameworks measurement. Currently actively open to work, 77% recruiter response rate, GitHub score 71."
CAND_0081846,4,0.709816,"Lead AI Engineer at Razorpay with 6.7 years of experience; hands-on production work in pgvector, Elasticsearch, Vector Search, including NDCG, MRR measurement. Currently actively open to work, 30-day notice, willing to relocate."
CAND_0010257,5,0.704169,"6.5 years of ranking/recommendation experience at Google; built systems using Milvus, OpenSearch, Qdrant, evaluated with A/B testing. Currently actively open to work, willing to relocate."
CAND_0033861,6,0.702781,"Senior NLP Engineer at Mad Street Den (8.0 years); demonstrated built-and-operated experience in Weaviate, Elasticsearch, Pinecone, with NDCG, A/B testing measurement infrastructure. Currently 30-day notice."
CAND_0008425,7,0.697042,"Strong retrieval background: 7.8 years as Senior NLP Engineer at Ola, built production systems with Qdrant, pgvector, Sentence Transformers and NDCG, A/B testing quality tracking. Currently actively open to work."
CAND_0051630,8,0.693705,"Machine Learning Engineer at Razorpay (6.0 years); owned embedding-based search and ranking infrastructure (Elasticsearch, Embeddings, OpenSearch). Currently GitHub score 66."
CAND_0079387,9,0.693254,"6.9 years as AI Engineer at Microsoft; built production retrieval and vector search systems (Vector Search, OpenSearch, Sentence Transformers) with A/B testing, eval frameworks quality measurement. Currently actively open to work, 30-day notice, 81% recruiter response rate."
CAND_0020877,10,0.692070,"Applied ML Engineer at CRED (5.1 years); demonstrated built-and-operated experience in Elasticsearch, OpenSearch, Weaviate, with eval frameworks measurement infrastructure. Currently GitHub score 74, willing to relocate."
CAND_0050876,11,0.685905,"Applied ML Engineer at Freshworks, 6.0 years; ranking system ownership with Qdrant, FAISS, OpenSearch — measured via A/B testing. actively open to work, GitHub score 86."
CAND_0074225,12,0.685657,"4.3 years (below the 5-9y target band), Machine Learning Engineer at Unacademy; built and shipped retrieval/ranking systems using Elasticsearch, Milvus, Qdrant — evaluated via A/B testing, eval frameworks. actively open to work, 91% recruiter response rate, willing to relocate."
CAND_0041568,13,0.680472,"5.2 years as Search Engineer at Haptik; built production retrieval and vector search systems (Weaviate, Vector Search, Qdrant) with A/B testing, eval frameworks quality measurement. actively open to work."
CAND_0080766,14,0.678763,"Staff Machine Learning Engineer at Salesforce with 8.8 years of experience; hands-on production work in Elasticsearch, OpenSearch, Milvus, including NDCG, A/B testing measurement. 0-day notice, willing to relocate."
CAND_0071974,15,0.678273,"Senior AI Engineer at Netflix with 7.8 years of experience; hands-on production work in Weaviate, Pinecone, Qdrant, including A/B testing measurement. actively open to work, 76% recruiter response rate, GitHub score 83."
CAND_0042029,16,0.677932,"Senior Data Scientist at Flipkart (6.5 years); demonstrated built-and-operated experience in Elasticsearch, Embeddings, OpenSearch, with A/B testing, eval frameworks measurement infrastructure. GitHub score 79, willing to relocate."
CAND_0030953,17,0.677902,"7.8 years, Search Engineer at Nykaa; built and shipped retrieval/ranking systems using Qdrant, pgvector, Weaviate — evaluated via A/B testing, eval frameworks."
CAND_0083307,18,0.677678,"Search Engineer at CRED with 7.8 years of experience; hands-on production work in Embeddings, Pinecone, Weaviate, including eval frameworks measurement. actively open to work, GitHub score 69."
CAND_0081686,19,0.677520,"6.0 years, Search Engineer at Netflix; built and shipped retrieval/ranking systems using Embeddings, FAISS, Milvus — evaluated via A/B testing. 91% recruiter response rate."
CAND_0064326,20,0.677456,"Search Engineer at Sarvam AI (7.6 years); demonstrated built-and-operated experience in Milvus, Weaviate, Semantic Search, with A/B testing, eval frameworks measurement infrastructure. actively open to work, 94% recruiter response rate, GitHub score 61."
CAND_0096172,21,0.676988,"Strong retrieval background: 5.2 years as NLP Engineer at Krutrim, built production systems with OpenSearch, Elasticsearch, Qdrant and A/B testing quality tracking. GitHub score 65."
CAND_0043228,22,0.676482,"6.8 years in applied ML at Zoho (Applied ML Engineer); built vector search and retrieval systems with Vector Search, Weaviate, OpenSearch. 30-day notice."
CAND_0007412,23,0.676253,"Applied ML Engineer at Zoho (7.4 years); demonstrated built-and-operated experience in Pinecone, Milvus, BM25, with A/B testing, eval frameworks measurement infrastructure. actively open to work, 76% recruiter response rate."
CAND_0017960,24,0.672618,"7.7 years as Recommendation Systems Engineer at Nykaa; built production retrieval and vector search systems (Qdrant, Information Retrieval, QLoRA) with A/B testing, eval frameworks quality measurement. actively open to work, GitHub score 92, willing to relocate."
CAND_0069905,25,0.665503,"6.6 years, Applied ML Engineer at Sarvam AI; built and shipped retrieval/ranking systems using Weaviate, Sentence Transformers, Recommendation Systems — evaluated via eval frameworks. actively open to work, 78% recruiter response rate, willing to relocate."
CAND_0044222,26,0.663348,"Strong retrieval background: 7.7 years as AI Engineer at PolicyBazaar, shipped production systems with Vector Search, OpenSearch, Qdrant and A/B testing quality tracking. actively open to work."
CAND_0088025,27,0.663302,"Staff Machine Learning Engineer at Yellow.ai (8.6 years); demonstrated owned-and-operated experience in Pinecone, Elasticsearch, pgvector, with A/B testing measurement infrastructure. actively open to work, 83% recruiter response rate, GitHub score 75."
CAND_0070398,28,0.661967,"Machine Learning Engineer at Genpact AI with 7.2 years of experience; hands-on production work in FAISS, Embeddings, pgvector, including A/B testing measurement. actively open to work, GitHub score 63, willing to relocate."
